concept_name,cancer_type
Malignant tumor of lymphoid hemopoietic and related tissue,lymphoma/lymphoid
Primary malignant neoplasm of ventral surface of tongue,head and neck
Malignant lymphoma of intrathoracic lymph nodes,lymphoma/lymphoid
Plasma cell leukemia,leukemia
Sezary's disease,lymphoma/lymphoid
Hodgkin's granuloma (clinical),lymphoma/lymphoid
Primary malignant neoplasm of myometrium,uterine/endometrial
Primary malignant neoplasm of skin of ear,skin
Primary malignant neoplasm of border of tongue,head and neck
Burkitt's lymphoma (clinical),lymphoma/lymphoid
Primary malignant neoplasm of vertebral column,bone
Leukemic reticuloendotheliosis of extranodal AND/OR solid organ site,leukemia
Basal cell carcinoma of truncal skin,skin
Primary malignant neoplasm of penis,male genital
Non-Hodgkin's lymphoma of extranodal site,lymphoma/lymphoid
Primary malignant neoplasm of parietal lobe,brain
Myelosclerosis with myeloid metaplasia,myelodysplastic syndromes
Primary malignant neoplasm of soft tissues of lower limb,soft tissue sarcoma
Cutaneous/peripheral T-cell lymphoma,lymphoma/lymphoid
"Acute promyelocytic leukemia, FAB M3",leukemia
Malignant melanoma of skin of upper limb,skin
Malignant neoplasm of skin of upper limb,skin
Malignant neoplasm of cerebrum (excluding lobes and ventricles),brain
Malignant carcinoid tumor,neuroendocrine
Overlapping malignant neoplasm of brain,brain
Squamous cell carcinoma of nose,skin
Chronic myelomonocytic leukemia,leukemia
Primary malignant neoplasm of anterior wall of urinary bladder,urinary tract/bladder
"Hodgkin's disease, mixed cellularity (clinical)",lymphoma/lymphoid
Malignant melanoma of trunk,skin
Basal cell carcinoma of lower extremity,skin
Acute myeloid leukemia in remission,leukemia
Primary malignant neoplasm of head,unknown
Primary malignant neoplasm of jejunum,small intestine
Primary malignant neoplasm of uterine adnexa,ovarian
Carcinoid syndrome,neuroendocrine
Lymphosarcoma of intra-abdominal lymph nodes,lymphoma/lymphoid
Primary malignant neoplasm of ureter,urinary tract/bladder
Primary malignant neoplasm of islets of Langerhans,neuroendocrine
Malignant melanoma of lower limb,skin
Hodgkin's disease of intrathoracic lymph nodes,lymphoma/lymphoid
Lymphosarcoma of lymph nodes of multiple sites,lymphoma/lymphoid
Primary malignant neoplasm of cerebral meninges,brain
Primary malignant neoplasm of body of uterus,uterine/endometrial
Primary malignant neoplasm of undescended testis,testicular
Extramedullary plasmacytoma,multiple myeloma
Lymphoid leukemia in remission,leukemia
Primary malignant neoplasm of nasopharynx,nasopharyngeal
Basal cell carcinoma of skin of lip,skin
Dendritic cell sarcoma,soft tissue sarcoma
B-cell lymphoma (clinical),lymphoma/lymphoid
